date, pm25, pm10, o3, no2, so2, co
2024/10/17, 177, 141, 52, 36, 6, 20
2024/10/18, 167, 127, 84, 35, 12, 12
2024/10/19, 162, 125, 36, 28, 7, 12
2024/10/20, 172, 115, 37, 24, 8, 9
2024/10/21, 171, 127, 39, 29, 8, 13
2024/10/22, 182, 187, 32, 26, 7, 11
2024/10/23, 237, 115, 37, 21, 7, 8
2024/10/24, 176, 123, 32, 22, 8, 7
2024/10/25, 163, 236, 46, 29, 9, 11
2024/10/26, 254, 212, 37, 25, 7, 17
2024/10/27, 300, 127, 35, 20, 7, 8
2024/10/28, 172, 130, 20, 26, 7, 17
2024/10/29, 166, 183, 44, 29, 11, 14
2024/10/30, 189, 181, 29, 23, 14, 9
2024/10/31, 212, 334, 33, 20, 9, 16
2024/11/1, 303, 251, 40, 31, 6, 22
2024/11/2, 257, 148, 125, 32, 8, 21
2024/11/3, 189, 150, 83, 37, 7, 22
2024/11/4, 187, 136, 44, 31, 6, 25
2024/11/5, 176, 129, 39, 35, 7, 25
2024/11/6, 173, 142, 37, 29, 6, 21
2024/11/7, 186, 131, 32, 28, 6, 19
2024/11/8, 177, 108, 35, 18, 6, 8
2024/11/9, 161, 125, 47, 19, 7, 18
2024/11/10, 169, 125, 42, 28, 6, 18
2024/11/11, 212, 113, 58, 26, 7, 13
2024/11/12, 156, 366, 111, 27, 4, 21
2024/11/13, 341, 186, 80, 33, 5, 27
2024/11/14, 227, 170, 174, 33, 5, 23
2024/11/15, 208, 205, 136, 42, 5, 24
2024/11/16, 242, 192, 80, 30, 5, 13
2024/11/17, 224, 307, 100, 28, 5, 17
2024/11/18, 320, 228, 47, 20, 5, 16
2024/11/19, 248, 119, 36, 8, 5, 8
2024/11/20, 167, 142, 26, 20, 5, 23
2024/11/21, 174, 155, 21, 17, 5, 20
2024/11/22, 189, 159, 60, 14, 5, 16
2024/11/23, 189, 110, 13, 8, 5, 2
2024/11/24, 143, 114, 13, 21, 5, 11
2024/11/25, 168, 107, 12, 32, 5, 10
2024/11/26, 163, 138, 20, 40, 6, 15
2024/11/27, 192, 180, 54, 44, 5, 17
2024/11/28, 235, 165, 71, 47, 5, 17
2024/11/29, 208, 197, 27, 49, 5, 25
2024/11/30, 246, 145, 5, 38, 5, 14
2024/12/1, 215, 102, 8, 27, 6, 13
2024/12/2, 180, 103, 8, 34, 6, 9
2024/12/3, 154, 78, 12, 23, 5, 6
2024/12/4, 112, 160, 18, 27, 5, 9
